provider	category	event_id	version	event(fields)	event_type	description
File Kernel Trace; Operation Set 1	{F681E6CC-EC6C-4ee9-90A6-C0C4E83276C2}	0	0	FileOperation(UInt32 Status, UInt8 Operation, UInt8 MinorOperation, UInt32 SequenceNumber, UInt8 IsPagingIO, UInt8 IsFastIO, UInt8 IsDirectory, UInt8 CreateOnExisting, SInt64 StartTime, UInt32 ProcessId, SInt64 ProcessCreateTime, UInt64 FileObject, SInt64 LastAccessTime, UInt32 SessionId, UInt64 WindowStation, UInt32 AccessToken, UInt32 SidLength, UInt32 ParametersLength, UInt32 ResultLength, UInt32 PreviousValueLength, Object UserSID, UInt8 OperationalParameters, UInt8 ResultData, UInt8 PreviousValue, String FileName, String VolumeDosName, String VolumeGuidName, String VolumeName)	FileTrace	
File Kernel Trace; Operation Set 1	{F681E6CC-EC6C-4ee9-90A6-C0C4E83276C2}	1	0	FileOperation(UInt32 Status, UInt8 Operation, UInt8 MinorOperation, UInt32 SequenceNumber, UInt8 IsPagingIO, UInt8 IsFastIO, UInt8 IsDirectory, UInt8 CreateOnExisting, SInt64 StartTime, UInt32 ProcessId, SInt64 ProcessCreateTime, UInt64 FileObject, SInt64 LastAccessTime, UInt32 SessionId, UInt64 WindowStation, UInt32 AccessToken, UInt32 SidLength, UInt32 ParametersLength, UInt32 ResultLength, UInt32 PreviousValueLength, Object UserSID, UInt8 OperationalParameters, UInt8 ResultData, UInt8 PreviousValue, String FileName, String VolumeDosName, String VolumeGuidName, String VolumeName)	FileTrace	
File Kernel Trace; Operation Set 1	{F681E6CC-EC6C-4ee9-90A6-C0C4E83276C2}	2	0	FileOperation(UInt32 Status, UInt8 Operation, UInt8 MinorOperation, UInt32 SequenceNumber, UInt8 IsPagingIO, UInt8 IsFastIO, UInt8 IsDirectory, UInt8 CreateOnExisting, SInt64 StartTime, UInt32 ProcessId, SInt64 ProcessCreateTime, UInt64 FileObject, SInt64 LastAccessTime, UInt32 SessionId, UInt64 WindowStation, UInt32 AccessToken, UInt32 SidLength, UInt32 ParametersLength, UInt32 ResultLength, UInt32 PreviousValueLength, Object UserSID, UInt8 OperationalParameters, UInt8 ResultData, UInt8 PreviousValue, String FileName, String VolumeDosName, String VolumeGuidName, String VolumeName)	FileTrace	
File Kernel Trace; Operation Set 1	{F681E6CC-EC6C-4ee9-90A6-C0C4E83276C2}	3	0	FileOperation(UInt32 Status, UInt8 Operation, UInt8 MinorOperation, UInt32 SequenceNumber, UInt8 IsPagingIO, UInt8 IsFastIO, UInt8 IsDirectory, UInt8 CreateOnExisting, SInt64 StartTime, UInt32 ProcessId, SInt64 ProcessCreateTime, UInt64 FileObject, SInt64 LastAccessTime, UInt32 SessionId, UInt64 WindowStation, UInt32 AccessToken, UInt32 SidLength, UInt32 ParametersLength, UInt32 ResultLength, UInt32 PreviousValueLength, Object UserSID, UInt8 OperationalParameters, UInt8 ResultData, UInt8 PreviousValue, String FileName, String VolumeDosName, String VolumeGuidName, String VolumeName)	FileTrace	
File Kernel Trace; Operation Set 1	{F681E6CC-EC6C-4ee9-90A6-C0C4E83276C2}	4	0	FileOperation(UInt32 Status, UInt8 Operation, UInt8 MinorOperation, UInt32 SequenceNumber, UInt8 IsPagingIO, UInt8 IsFastIO, UInt8 IsDirectory, UInt8 CreateOnExisting, SInt64 StartTime, UInt32 ProcessId, SInt64 ProcessCreateTime, UInt64 FileObject, SInt64 LastAccessTime, UInt32 SessionId, UInt64 WindowStation, UInt32 AccessToken, UInt32 SidLength, UInt32 ParametersLength, UInt32 ResultLength, UInt32 PreviousValueLength, Object UserSID, UInt8 OperationalParameters, UInt8 ResultData, UInt8 PreviousValue, String FileName, String VolumeDosName, String VolumeGuidName, String VolumeName)	FileTrace	
File Kernel Trace; Operation Set 1	{F681E6CC-EC6C-4ee9-90A6-C0C4E83276C2}	5	0	FileOperation(UInt32 Status, UInt8 Operation, UInt8 MinorOperation, UInt32 SequenceNumber, UInt8 IsPagingIO, UInt8 IsFastIO, UInt8 IsDirectory, UInt8 CreateOnExisting, SInt64 StartTime, UInt32 ProcessId, SInt64 ProcessCreateTime, UInt64 FileObject, SInt64 LastAccessTime, UInt32 SessionId, UInt64 WindowStation, UInt32 AccessToken, UInt32 SidLength, UInt32 ParametersLength, UInt32 ResultLength, UInt32 PreviousValueLength, Object UserSID, UInt8 OperationalParameters, UInt8 ResultData, UInt8 PreviousValue, String FileName, String VolumeDosName, String VolumeGuidName, String VolumeName)	FileTrace	
File Kernel Trace; Operation Set 1	{F681E6CC-EC6C-4ee9-90A6-C0C4E83276C2}	6	0	FileOperation(UInt32 Status, UInt8 Operation, UInt8 MinorOperation, UInt32 SequenceNumber, UInt8 IsPagingIO, UInt8 IsFastIO, UInt8 IsDirectory, UInt8 CreateOnExisting, SInt64 StartTime, UInt32 ProcessId, SInt64 ProcessCreateTime, UInt64 FileObject, SInt64 LastAccessTime, UInt32 SessionId, UInt64 WindowStation, UInt32 AccessToken, UInt32 SidLength, UInt32 ParametersLength, UInt32 ResultLength, UInt32 PreviousValueLength, Object UserSID, UInt8 OperationalParameters, UInt8 ResultData, UInt8 PreviousValue, String FileName, String VolumeDosName, String VolumeGuidName, String VolumeName)	FileTrace	
File Kernel Trace; Operation Set 1	{F681E6CC-EC6C-4ee9-90A6-C0C4E83276C2}	7	0	FileOperation(UInt32 Status, UInt8 Operation, UInt8 MinorOperation, UInt32 SequenceNumber, UInt8 IsPagingIO, UInt8 IsFastIO, UInt8 IsDirectory, UInt8 CreateOnExisting, SInt64 StartTime, UInt32 ProcessId, SInt64 ProcessCreateTime, UInt64 FileObject, SInt64 LastAccessTime, UInt32 SessionId, UInt64 WindowStation, UInt32 AccessToken, UInt32 SidLength, UInt32 ParametersLength, UInt32 ResultLength, UInt32 PreviousValueLength, Object UserSID, UInt8 OperationalParameters, UInt8 ResultData, UInt8 PreviousValue, String FileName, String VolumeDosName, String VolumeGuidName, String VolumeName)	FileTrace	
File Kernel Trace; Operation Set 1	{F681E6CC-EC6C-4ee9-90A6-C0C4E83276C2}	8	0	FileOperation(UInt32 Status, UInt8 Operation, UInt8 MinorOperation, UInt32 SequenceNumber, UInt8 IsPagingIO, UInt8 IsFastIO, UInt8 IsDirectory, UInt8 CreateOnExisting, SInt64 StartTime, UInt32 ProcessId, SInt64 ProcessCreateTime, UInt64 FileObject, SInt64 LastAccessTime, UInt32 SessionId, UInt64 WindowStation, UInt32 AccessToken, UInt32 SidLength, UInt32 ParametersLength, UInt32 ResultLength, UInt32 PreviousValueLength, Object UserSID, UInt8 OperationalParameters, UInt8 ResultData, UInt8 PreviousValue, String FileName, String VolumeDosName, String VolumeGuidName, String VolumeName)	FileTrace	
File Kernel Trace; Operation Set 1	{F681E6CC-EC6C-4ee9-90A6-C0C4E83276C2}	9	0	FileOperation(UInt32 Status, UInt8 Operation, UInt8 MinorOperation, UInt32 SequenceNumber, UInt8 IsPagingIO, UInt8 IsFastIO, UInt8 IsDirectory, UInt8 CreateOnExisting, SInt64 StartTime, UInt32 ProcessId, SInt64 ProcessCreateTime, UInt64 FileObject, SInt64 LastAccessTime, UInt32 SessionId, UInt64 WindowStation, UInt32 AccessToken, UInt32 SidLength, UInt32 ParametersLength, UInt32 ResultLength, UInt32 PreviousValueLength, Object UserSID, UInt8 OperationalParameters, UInt8 ResultData, UInt8 PreviousValue, String FileName, String VolumeDosName, String VolumeGuidName, String VolumeName)	FileTrace	
File Kernel Trace; Operation Set 1	{F681E6CC-EC6C-4ee9-90A6-C0C4E83276C2}	10	0	FileOperation(UInt32 Status, UInt8 Operation, UInt8 MinorOperation, UInt32 SequenceNumber, UInt8 IsPagingIO, UInt8 IsFastIO, UInt8 IsDirectory, UInt8 CreateOnExisting, SInt64 StartTime, UInt32 ProcessId, SInt64 ProcessCreateTime, UInt64 FileObject, SInt64 LastAccessTime, UInt32 SessionId, UInt64 WindowStation, UInt32 AccessToken, UInt32 SidLength, UInt32 ParametersLength, UInt32 ResultLength, UInt32 PreviousValueLength, Object UserSID, UInt8 OperationalParameters, UInt8 ResultData, UInt8 PreviousValue, String FileName, String VolumeDosName, String VolumeGuidName, String VolumeName)	FileTrace	
File Kernel Trace; Operation Set 1	{F681E6CC-EC6C-4ee9-90A6-C0C4E83276C2}	11	0	FileOperation(UInt32 Status, UInt8 Operation, UInt8 MinorOperation, UInt32 SequenceNumber, UInt8 IsPagingIO, UInt8 IsFastIO, UInt8 IsDirectory, UInt8 CreateOnExisting, SInt64 StartTime, UInt32 ProcessId, SInt64 ProcessCreateTime, UInt64 FileObject, SInt64 LastAccessTime, UInt32 SessionId, UInt64 WindowStation, UInt32 AccessToken, UInt32 SidLength, UInt32 ParametersLength, UInt32 ResultLength, UInt32 PreviousValueLength, Object UserSID, UInt8 OperationalParameters, UInt8 ResultData, UInt8 PreviousValue, String FileName, String VolumeDosName, String VolumeGuidName, String VolumeName)	FileTrace	
File Kernel Trace; Operation Set 1	{F681E6CC-EC6C-4ee9-90A6-C0C4E83276C2}	12	0	FileOperation(UInt32 Status, UInt8 Operation, UInt8 MinorOperation, UInt32 SequenceNumber, UInt8 IsPagingIO, UInt8 IsFastIO, UInt8 IsDirectory, UInt8 CreateOnExisting, SInt64 StartTime, UInt32 ProcessId, SInt64 ProcessCreateTime, UInt64 FileObject, SInt64 LastAccessTime, UInt32 SessionId, UInt64 WindowStation, UInt32 AccessToken, UInt32 SidLength, UInt32 ParametersLength, UInt32 ResultLength, UInt32 PreviousValueLength, Object UserSID, UInt8 OperationalParameters, UInt8 ResultData, UInt8 PreviousValue, String FileName, String VolumeDosName, String VolumeGuidName, String VolumeName)	FileTrace	
