provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Wininit	1	0	WaitForWinstationShutdownStart()	Start	PerfInstrumentation	WaitForWinstationShutdown	Informational		
Microsoft-Windows-Wininit	2	0	WaitForWinstationShutdownStop()	Stop	PerfInstrumentation	WaitForWinstationShutdown	Informational		
Microsoft-Windows-Wininit	3	0	PreShutdownNotificationStart()	Start	PerfInstrumentation	PreShutdownNotification	Informational		
Microsoft-Windows-Wininit	4	0	PreShutdownNotificationStop()	Stop	PerfInstrumentation	PreShutdownNotification	Informational		
Microsoft-Windows-Wininit	5	0	WaitForSystemProcessesStart()	Start	PerfInstrumentation	WaitForSystemProcesses	Informational		
Microsoft-Windows-Wininit	6	0	WaitForSystemProcessesStop()	Stop	PerfInstrumentation	WaitForSystemProcesses	Informational		
Microsoft-Windows-Wininit	7	0	ShutdownSystemRestoreStart()	Start	PerfInstrumentation	ShutdownSystemRestore	Informational		
Microsoft-Windows-Wininit	8	0	ShutdownSystemRestoreStop()	Stop	PerfInstrumentation	ShutdownSystemRestore	Informational		
Microsoft-Windows-Wininit	9	0	ShutdownWindowsStart(UInt32 Flags)	Start	PerfInstrumentation	ShutdownWindows	Informational		
Microsoft-Windows-Wininit	10	0	ShutdownWindowsStop(UInt32 Win32Status)	Stop	PerfInstrumentation	ShutdownWindows	Informational		
Microsoft-Windows-Wininit	11	0	task_0(UInt32 StringCount, UnicodeString String)			task_0	Warning		
Microsoft-Windows-Wininit	12	0	task_012(UInt32 Level)			task_0	Informational		
Microsoft-Windows-Wininit	13	0	task_013()			task_0	Informational		
Microsoft-Windows-Wininit	14	0	task_014(UInt32 Config, UInt32 IsTestConfig, UInt32 IsAutoEnabled)			task_0	Informational		
Microsoft-Windows-Wininit	15	0	task_015()			task_0	Warning		
Microsoft-Windows-Wininit	16	0	task_016(UInt32 Level)			task_0	Error		
Microsoft-Windows-Wininit	17	0	task_017(UInt32 Level)			task_0	Error		
Microsoft-Windows-Wininit	18	0	task_018()			task_0	Informational		
Microsoft-Windows-Wininit	19	0	task_019(Int32 HRESULT, Boolean NewLatchTimerNeeded, Boolean NewLatchTimerWaitingSystemUpdateCompletion, Boolean PreviousLatchTimerExistsButDisabled, UInt64 LKeyPkgIdCounterValue, Boolean PolicyFileExists, UInt64 LKeyPkgId, UInt16 UnlatchedLKeyUnsealPolicyFileVersion, UInt64 UnlatchedLKeyUnsealPolicyPolicyVersion)			task_0	Informational		
Microsoft-Windows-Wininit	20	0	task_020(UInt32 win32Error, FILETIME ftStartTime, UInt64 ullDelay, FILETIME ftDueTime, UInt64 PolicyVersion)			task_0	Informational		
Microsoft-Windows-Wininit	21	0	task_021(Int32 HRESULT, Boolean PreviousTimerPresent, FILETIME ftStartTime, UInt64 ullDelay, UInt64 PolicyVersion, Boolean fAttemptedRecoveryIncrementCounterSucceeded, Boolean fPreviousLatchTimerInvalid, Boolean fPolicyFileExists)			task_0	Informational		
Microsoft-Windows-Wininit	22	0	task_022(Int32 HRESULT, UInt64 Counter, UInt64 PendingLKeyPkgId, UInt64 PendingPolicyVersion, Boolean CounterIncremented)			task_0	Informational		
Microsoft-Windows-Wininit	23	0	task_023(Int32 HRESULT, Boolean NewTimerNeeded, Boolean NewTimerWaitingUpdateCompletion, Boolean PreviousTimerExistsButDisabled)			task_0	Informational		
Microsoft-Windows-Wininit	24	0	task_024(UInt32 win32Error, FILETIME FileStartTime, UInt64 GracePeriod, FILETIME DueTime)			task_0	Informational		
Microsoft-Windows-Wininit	25	0	task_025(Int32 HRESULT, Boolean PreviousTimerExists, FILETIME PreviousTimerStartTime, UInt64 GracePeriod, Boolean AttemptedRecoveryEnforcementSucceeded)			task_0	Informational		
Microsoft-Windows-Wininit	26	0	task_026(Int32 HRESULT, Boolean BootStlEnforced, HexInt32 LocalStatus)			task_0	Informational		
Microsoft-Windows-Wininit	51	0	NtShutdownSystem()		PerfInstrumentation	NtShutdownSystem	Informational		
Microsoft-Windows-Wininit	53	0	SentLogoffRequest(UInt32 SessionId, UInt32 Flags)		PerfInstrumentation	SentLogoffRequest	Informational		
Microsoft-Windows-Wininit	55	0	ReceivedShutdownRequest(UInt32 SessionId, UInt32 IsRemote, UInt32 GracePeriod, UInt32 Flags, UInt32 Reason, UnicodeString Message)		PerfInstrumentation	ReceivedShutdownRequest	Informational		
Microsoft-Windows-Wininit	100	0	task_0100()			task_0	Informational		
Microsoft-Windows-Wininit	1001	0	task_0PCODE_64pcode_64()	opcode_64		task_0	Always		
Microsoft-Windows-Wininit	1015	0	task_0PCODE_192pcode_192()	opcode_192		task_0	Always		
Microsoft-Windows-Wininit	3002	0	task_0PCODE_192pcode_1923002()	opcode_192		task_0	Always		
Microsoft-Windows-Wininit	3003	0	task_0PCODE_128pcode_128()	opcode_128		task_0	Always		
Microsoft-Windows-Wininit	3004	0	task_0PCODE_128pcode_1283004()	opcode_128		task_0	Always		
Microsoft-Windows-Wininit	3005	0	task_0PCODE_192pcode_1923005()	opcode_192		task_0	Always		
Microsoft-Windows-Wininit	3006	0	task_0PCODE_192pcode_1923006()	opcode_192		task_0	Always		
Microsoft-Windows-Wininit	6001	0	ShutdownDiagnosticsStart(UInt32 Flags)	Start	PerfInstrumentation PerfDiagnostics	ShutdownDiagnostics	Informational		
Microsoft-Windows-Wininit	6002	1	PerfTrackFullShutdown_V1(UInt32 ShutdownFlags, UInt64 SystemShutdownDuration, UInt32 SkuHasLogoff)		PerfInstrumentation	PerfTrackFullShutdown	Informational		
