provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-SleepStudy	1	0	ScenarioBlocker(UInt8 ScenarioInstanceId, GUID ParentGuid, UInt32 BlockerNameLength, UnicodeString BlockerName, GUID BlockerGuid, UInt64 ActiveTime)		sleepstudy	ScenarioBlocker	Informational		
Microsoft-Windows-SleepStudy	1	1	ScenarioBlocker_V1(UInt8 ScenarioInstanceId, GUID ParentGuid, UInt32 BlockerNameLength, UnicodeString BlockerName, GUID BlockerGuid, UInt64 ActiveTime, UInt64 ScenarioInstanceIdV2)		sleepstudy	ScenarioBlocker	Informational		
Microsoft-Windows-SleepStudy	1	2	ScenarioBlocker_V2(UInt8 ScenarioInstanceId, GUID ParentGuid, UInt32 BlockerNameLength, UnicodeString BlockerName, GUID BlockerGuid, UInt64 ActiveTime, UInt64 ScenarioInstanceIdV2, UInt64 Flags)		sleepstudy	ScenarioBlocker	Informational		
Microsoft-Windows-SleepStudy	2	0	ScenarioBlockerData(UInt8 ScenarioInstanceId, UInt32 DataCount, Int8 Data)		sleepstudy	ScenarioBlockerData	Informational		
Microsoft-Windows-SleepStudy	2	1	ScenarioBlockerData_V1(UInt8 ScenarioInstanceId, UInt32 DataCount, UInt8 Data, UInt64 ScenarioInstanceIdV2)		sleepstudy	ScenarioBlockerData	Informational		
Microsoft-Windows-SleepStudy	3	0	TopOffendersPerfTrack(UInt32 ActiveTimeAndCommonData, UInt32 TopLevelActiveTime, UnicodeString BlockerHierarchyLevel1, UnicodeString BlockerHierarchyLevel2, UnicodeString BlockerHierarchyLevel3)			TopOffendersPerfTrack	Informational		
Microsoft-Windows-SleepStudy	4	0	SubsystemContextInfo(UInt32 DataCount, AnsiString Data)		sleepstudy	SubsystemContextInfo	Informational		
Microsoft-Windows-SleepStudy	5	0	ScenarioBlockerVerboseAccounting(UInt64 ScenarioId, GUID BlockerGuid, GUID ParentBlockerGuid, UInt64 ActiveTime, UInt32 ActiveTimeBuckets, UInt64 ActiveTimePerBucket, UInt32 UnattributedActiveTimeBuckets, UInt64 UnattributedActiveTimePerBucket, UInt64 NonActiveTime, UInt32 NonActiveTimeBuckets, UInt64 NonActiveTimePerBucket, UInt32 UnattributedNonActiveTimeBuckets, UInt64 UnattributedNonActiveTimePerBucket)		sleepstudy	ScenarioBlockerVerboseAccounting	Informational		
Microsoft-Windows-SleepStudy	5	1	ScenarioBlockerVerboseAccounting_V1(UInt64 ScenarioId, GUID BlockerGuid, GUID ParentBlockerGuid, UInt64 ActiveTime, UInt32 ActiveTimeBuckets, UInt64 ActiveTimePerBucket, UInt32 UnattributedActiveTimeBuckets, UInt64 UnattributedActiveTimePerBucket, UInt64 NonActiveTime, UInt32 NonActiveTimeBuckets, UInt64 NonActiveTimePerBucket, UInt32 UnattributedNonActiveTimeBuckets, UInt64 UnattributedNonActiveTimePerBucket, UInt32 BlockerType, UInt32 DeviceClassNameLength, UnicodeString DeviceClassName, UInt32 DeviceClassGuidLength, UnicodeString DeviceClassGuid, UInt32 DeviceHardwareIdLength, UnicodeString DeviceHardwareId)		sleepstudy	ScenarioBlockerVerboseAccounting	Informational		
Microsoft-Windows-SleepStudy	5	2	ScenarioBlockerVerboseAccounting_V2(UInt64 ScenarioId, GUID BlockerGuid, GUID ParentBlockerGuid, UInt64 ActiveTime, UInt32 ActiveTimeBuckets, UInt64 ActiveTimePerBucket, UInt32 UnattributedActiveTimeBuckets, UInt64 UnattributedActiveTimePerBucket, UInt64 NonActiveTime, UInt32 NonActiveTimeBuckets, UInt64 NonActiveTimePerBucket, UInt32 UnattributedNonActiveTimeBuckets, UInt64 UnattributedNonActiveTimePerBucket, UInt32 BlockerType, UInt32 DeviceClassNameLength, UnicodeString DeviceClassName, UInt32 DeviceClassGuidLength, UnicodeString DeviceClassGuid, UInt32 DeviceHardwareIdLength, UnicodeString DeviceHardwareId, UInt64 Flags)		sleepstudy	ScenarioBlockerVerboseAccounting	Informational		
