provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Immersive-Shell	101	0	ImmersiveShellStartupStart(UInt32 Result)	Start	keyword_400000000000	ImmersiveShellStartup	Informational		
Microsoft-Windows-Immersive-Shell	102	0	ImmersiveShellStartupStop(UInt32 Result)	Stop	keyword_400000000000	ImmersiveShellStartup	Informational		
Microsoft-Windows-Immersive-Shell	105	0	ImmersiveShellShutdown()			ImmersiveShellShutdown	Informational		
Microsoft-Windows-Immersive-Shell	111	0	ImmersiveShellComponentStartupStart(UInt32 TableEntryIndex, UInt32 InitalizationStep, UInt32 Result)	Start	keyword_200000000000	ImmersiveShellComponentStartup	Informational		
Microsoft-Windows-Immersive-Shell	112	0	ImmersiveShellComponentStartupStop(UInt32 TableEntryIndex, UInt32 InitalizationStep, UInt32 Result)	Stop	keyword_200000000000	ImmersiveShellComponentStartup	Informational		
Microsoft-Windows-Immersive-Shell	113	0	ImmersiveShellComponentShutdownStart(UInt32 TableEntryIndex, UInt32 InitalizationStep, UInt32 Result)	Start		ImmersiveShellComponentShutdown	Informational		
Microsoft-Windows-Immersive-Shell	114	0	ImmersiveShellComponentShutdownStop(UInt32 TableEntryIndex, UInt32 InitalizationStep, UInt32 Result)	Stop		ImmersiveShellComponentShutdown	Informational		
Microsoft-Windows-Immersive-Shell	121	0	ImmersiveShellAppManagerModeNotificationStart(Int32 SystemModeFrom, Int32 SystemSubModeFrom, Int32 SystemModeTo, Int32 SystemSubModeTo)	Start		ImmersiveShellAppManagerModeNotification	Informational		
Microsoft-Windows-Immersive-Shell	122	0	ImmersiveShellAppManagerModeNotificationStop(Int32 SystemModeFrom, Int32 SystemSubModeFrom, Int32 SystemModeTo, Int32 SystemSubModeTo)	Stop		ImmersiveShellAppManagerModeNotification	Informational		
Microsoft-Windows-Immersive-Shell	123	0	ImmersiveShellAppManagerZbandNotificationStart(Int32 ZbandFrom, Int32 ZbandTo)	Start		ImmersiveShellAppManagerZbandNotification	Informational		
Microsoft-Windows-Immersive-Shell	124	0	ImmersiveShellAppManagerZbandNotificationStop(Int32 ZbandFrom, Int32 ZbandTo)	Stop		ImmersiveShellAppManagerZbandNotification	Informational		
Microsoft-Windows-Immersive-Shell	125	0	ImmersiveShellAppManagerZbandChangedStart(UInt32 ListenerIndex)	Start		ImmersiveShellAppManagerZbandChanged	Informational		
Microsoft-Windows-Immersive-Shell	126	0	ImmersiveShellAppManagerZbandChangedStop(UInt32 ListenerIndex, UInt32 Result)	Stop		ImmersiveShellAppManagerZbandChanged	Informational		
Microsoft-Windows-Immersive-Shell	131	0	ImmersiveShellAppManagerModeChangingStart(UInt32 ListenerIndex)	Start		ImmersiveShellAppManagerModeChanging	Informational		
Microsoft-Windows-Immersive-Shell	132	0	ImmersiveShellAppManagerModeChangingStop(UInt32 ListenerIndex)	Stop		ImmersiveShellAppManagerModeChanging	Informational		
Microsoft-Windows-Immersive-Shell	141	0	ImmersiveShellAppManagerModeChangedStart(UInt32 ListenerIndex)	Start		ImmersiveShellAppManagerModeChanged	Informational		
Microsoft-Windows-Immersive-Shell	142	0	ImmersiveShellAppManagerModeChangedStop(UInt32 ListenerIndex)	Stop		ImmersiveShellAppManagerModeChanged	Informational		
Microsoft-Windows-Immersive-Shell	145	0	ImmersiveShellAppManagerStartupStart()	Start		ImmersiveShellAppManagerStartup	Informational		
Microsoft-Windows-Immersive-Shell	146	0	ImmersiveShellAppManagerStartupStop()	Stop		ImmersiveShellAppManagerStartup	Informational		
Microsoft-Windows-Immersive-Shell	147	0	ImmersiveShellAppManagerSetActiveProcessStart()	Start		ImmersiveShellAppManagerSetActiveProcess	Informational		
Microsoft-Windows-Immersive-Shell	148	0	ImmersiveShellAppManagerSetActiveProcessStop()	Stop		ImmersiveShellAppManagerSetActiveProcess	Informational		
Microsoft-Windows-Immersive-Shell	151	0	ImmersiveShellLayoutUpdateStart()	Start		ImmersiveShellLayoutUpdate	Informational		
Microsoft-Windows-Immersive-Shell	152	0	ImmersiveShellLayoutUpdateStop()	Stop		ImmersiveShellLayoutUpdate	Informational		
Microsoft-Windows-Immersive-Shell	153	0	ImmersiveShellLayoutUpdate(UInt32 BandID, Int32 OuterWorkArea_left, Int32 OuterWorkArea_top, Int32 OuterWorkArea_right, Int32 OuterWorkArea_bottom, Int32 InnerWorkArea_left, Int32 InnerWorkArea_top, Int32 InnerWorkArea_right, Int32 InnerWorkArea_bottom)			ImmersiveShellLayoutUpdate	Informational		
Microsoft-Windows-Immersive-Shell	154	0	ImmersiveShellLayoutInitializeStart()	Start		ImmersiveShellLayoutInitialize	Informational		
Microsoft-Windows-Immersive-Shell	155	0	ImmersiveShellLayoutInitializeStop()	Stop		ImmersiveShellLayoutInitialize	Informational		
Microsoft-Windows-Immersive-Shell	156	0	ImmersiveShellLayoutInvalidate(UInt32 InvalidationReason)			ImmersiveShellLayoutInvalidate	Informational		
Microsoft-Windows-Immersive-Shell	161	0	ImmersiveShellIHMNotificationStart(Pointer FocusedHWND, Int32 IHMPosition_left, Int32 IHMPosition_top, Int32 IHMPosition_right, Int32 IHMPosition_bottom)	Start		ImmersiveShellIHMNotification	Informational		
Microsoft-Windows-Immersive-Shell	162	0	ImmersiveShellIHMNotificationStop(Pointer FocusedHWND, Int32 IHMPosition_left, Int32 IHMPosition_top, Int32 IHMPosition_right, Int32 IHMPosition_bottom)	Stop		ImmersiveShellIHMNotification	Informational		
Microsoft-Windows-Immersive-Shell	163	0	ImmersiveShellIHMNotificationStart163(Pointer FocusedHWND, Int32 IHMPosition_left, Int32 IHMPosition_top, Int32 IHMPosition_right, Int32 IHMPosition_bottom)	Start		ImmersiveShellIHMNotification	Informational		
Microsoft-Windows-Immersive-Shell	164	0	ImmersiveShellIHMNotificationStop164()	Stop		ImmersiveShellIHMNotification	Informational		
Microsoft-Windows-Immersive-Shell	165	0	ImmersiveShellAppIHMNotificationStart(Int32 NotificationType, Pointer FocusedHWND, Int32 IHMPosition_left, Int32 IHMPosition_top, Int32 IHMPosition_right, Int32 IHMPosition_bottom)	Start		ImmersiveShellAppIHMNotification	Informational		
Microsoft-Windows-Immersive-Shell	166	0	ImmersiveShellAppIHMNotificationStop(Int32 NotificationType, Pointer FocusedHWND, Int32 IHMPosition_left, Int32 IHMPosition_top, Int32 IHMPosition_right, Int32 IHMPosition_bottom)	Stop		ImmersiveShellAppIHMNotification	Informational		
Microsoft-Windows-Immersive-Shell	171	0	ImmersiveShellAppManagerApplicationStateChange(UnicodeString AppID, UInt32 ApplicationState, Boolean HasActionsMenu, UInt32 DesktopTabletModeState)		keyword_200000000000	ImmersiveShellAppManagerApplicationStateChange	Informational		
