provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Hyper-V-Hypervisor	1	0	task_0()		keyword_400000000000	task_0	Informational		
Microsoft-Windows-Hyper-V-Hypervisor	2	0	task_02(HexInt32 SchedulerType)		keyword_400000000000	task_0	Informational		
Microsoft-Windows-Hyper-V-Hypervisor	3	0	task_03()		keyword_400000000000	task_0	Error		
Microsoft-Windows-Hyper-V-Hypervisor	5	0	task_05()		keyword_400000000000	task_0	Warning		
Microsoft-Windows-Hyper-V-Hypervisor	10	0	task_010(HexInt64 Error)		keyword_400000000000	task_0	Informational		
Microsoft-Windows-Hyper-V-Hypervisor	11	0	task_011(HexInt64 Error)		keyword_400000000000	task_0	Informational		
Microsoft-Windows-Hyper-V-Hypervisor	12	0	task_012(HexInt64 ProcessorFeatures, HexInt64 XsaveFeatures, UInt32 CLFlushSize)			task_0	Informational		
Microsoft-Windows-Hyper-V-Hypervisor	12	1	task_012_V1(UInt8 BankCount, HexInt64 ProcessorFeatures, HexInt64 XsaveFeatures, UInt32 CLFlushSize)			task_0	Informational		
Microsoft-Windows-Hyper-V-Hypervisor	13	0	task_013()		keyword_400000000000	task_0	Warning		
Microsoft-Windows-Hyper-V-Hypervisor	20	0	task_020(HexInt32 ErrorCode)		keyword_400000000000	task_0	Error		
Microsoft-Windows-Hyper-V-Hypervisor	26	0	task_026(HexInt64 BalStatus, HexInt32 Error)		keyword_400000000000	task_0	Error		
Microsoft-Windows-Hyper-V-Hypervisor	27	0	task_027()		keyword_400000000000	task_0	Error		
Microsoft-Windows-Hyper-V-Hypervisor	28	0	task_028()		keyword_400000000000	task_0	Error		
Microsoft-Windows-Hyper-V-Hypervisor	31	0	task_031()		keyword_400000000000	task_0	Error		
Microsoft-Windows-Hyper-V-Hypervisor	32	0	task_032()		keyword_400000000000	task_0	Error		
Microsoft-Windows-Hyper-V-Hypervisor	34	0	task_034(UnicodeString ImageName, HexInt32 Status)		keyword_400000000000	task_0	Error		
Microsoft-Windows-Hyper-V-Hypervisor	36	0	task_036(UnicodeString ImageName)		keyword_400000000000	task_0	Error		
Microsoft-Windows-Hyper-V-Hypervisor	37	0	task_037(UnicodeString ImageName)		keyword_400000000000	task_0	Error		
Microsoft-Windows-Hyper-V-Hypervisor	38	0	task_038(HexInt64 BalStatus)		keyword_400000000000	task_0	Error		
Microsoft-Windows-Hyper-V-Hypervisor	39	0	task_039(AnsiString LoadOptions)			task_0	Informational		
