provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-EaseOfAccess	1	0	Magnify_LaunchAppStart()	Start	PerfInstrumentation	Magnify_LaunchApp	Informational		
Microsoft-Windows-EaseOfAccess	2	0	Magnify_LaunchAppStop()	Stop	PerfInstrumentation	Magnify_LaunchApp	Informational		
Microsoft-Windows-EaseOfAccess	3	0	Magnify_ChangeZoomLevelStart()	Start	PerfInstrumentation	Magnify_ChangeZoomLevel	Informational		
Microsoft-Windows-EaseOfAccess	4	0	Magnify_ChangeZoomLevelStop()	Stop	PerfInstrumentation	Magnify_ChangeZoomLevel	Informational		
Microsoft-Windows-EaseOfAccess	5	0	Magnify_ChangeFocusStart()	Start	PerfInstrumentation	Magnify_ChangeFocus	Informational		
Microsoft-Windows-EaseOfAccess	6	0	Magnify_ChangeFocusStop()	Stop	PerfInstrumentation	Magnify_ChangeFocus	Informational		
Microsoft-Windows-EaseOfAccess	7	0	UtilMan_LaunchAppStart()	Start	PerfInstrumentation	UtilMan_LaunchApp	Informational		
Microsoft-Windows-EaseOfAccess	8	0	UtilMan_LaunchAppStop()	Stop	PerfInstrumentation	UtilMan_LaunchApp	Informational		
Microsoft-Windows-EaseOfAccess	9	0	SetHC_EnableHighContrastStart()	Start	PerfInstrumentation	SetHC_EnableHighContrast	Informational		
Microsoft-Windows-EaseOfAccess	10	0	SetHC_EnableHighContrastStop()	Stop	PerfInstrumentation	SetHC_EnableHighContrast	Informational		
Microsoft-Windows-EaseOfAccess	11	0	CPL_InitializePageStart()	Start	PerfInstrumentation	CPL_InitializePage	Informational		
Microsoft-Windows-EaseOfAccess	12	0	CPL_InitializePageStop()	Stop	PerfInstrumentation	CPL_InitializePage	Informational		
Microsoft-Windows-EaseOfAccess	13	0	CPL_CommitChangesStart()	Start	PerfInstrumentation	CPL_CommitChanges	Informational		
Microsoft-Windows-EaseOfAccess	14	0	CPL_CommitChangesStop()	Stop	PerfInstrumentation	CPL_CommitChanges	Informational		
Microsoft-Windows-EaseOfAccess	15	0	Magnify_LaunchSettingsStart()	Start	PerfInstrumentation	Magnify_LaunchSettings	Informational		
Microsoft-Windows-EaseOfAccess	16	0	Magnify_LaunchSettingsStop()	Stop	PerfInstrumentation	Magnify_LaunchSettings	Informational		
Microsoft-Windows-EaseOfAccess	17	0	Magnify_ModeSwitchStart()	Start	PerfInstrumentation	Magnify_ModeSwitch	Informational		
Microsoft-Windows-EaseOfAccess	18	0	Magnify_ModeSwitchStop()	Stop	PerfInstrumentation	Magnify_ModeSwitch	Informational		
Microsoft-Windows-EaseOfAccess	19	0	Magnify_ContextStart()	Start	PerfInstrumentation	Magnify_Context	Informational		
Microsoft-Windows-EaseOfAccess	20	0	Magnify_ContextStop()	Stop	PerfInstrumentation	Magnify_Context	Informational		
Microsoft-Windows-EaseOfAccess	21	0	Magnify_PanningSwitchStart()	Start	PerfInstrumentation	Magnify_PanningSwitch	Informational		
Microsoft-Windows-EaseOfAccess	22	0	Magnify_PanningSwitchStop()	Stop	PerfInstrumentation	Magnify_PanningSwitch	Informational		
Microsoft-Windows-EaseOfAccess	23	0	Magnify_HandleTouchStart()	Start	PerfInstrumentation	Magnify_HandleTouch	Informational		
Microsoft-Windows-EaseOfAccess	24	0	Magnify_HandleTouchStop()	Stop	PerfInstrumentation	Magnify_HandleTouch	Informational		
Microsoft-Windows-EaseOfAccess	25	0	Magnify_HandledTouchPan()		PerfInstrumentation	Magnify_HandledTouchPan	Informational		
Microsoft-Windows-EaseOfAccess	26	0	Magnify_HandledTouchZoom()		PerfInstrumentation	Magnify_HandledTouchZoom	Informational		
Microsoft-Windows-EaseOfAccess	27	0	Magnify_TouchBladeShowHide()		PerfInstrumentation	Magnify_TouchBladeShowHide	Informational		
Microsoft-Windows-EaseOfAccess	28	0	Magnify_TouchBladeShowHide28()		PerfInstrumentation	Magnify_TouchBladeShowHide	Informational		
Microsoft-Windows-EaseOfAccess	29	0	Magnify_TouchBladeShowHide29()		PerfInstrumentation	Magnify_TouchBladeShowHide	Informational		
Microsoft-Windows-EaseOfAccess	30	0	Magnify_TouchBladeShowHide30()		PerfInstrumentation	Magnify_TouchBladeShowHide	Informational		
Microsoft-Windows-EaseOfAccess	31	0	Magnify_TouchBladeShowHide31()		PerfInstrumentation	Magnify_TouchBladeShowHide	Informational		
Microsoft-Windows-EaseOfAccess	32	0	Magnify_TouchBladeShowHide32()		PerfInstrumentation	Magnify_TouchBladeShowHide	Informational		
Microsoft-Windows-EaseOfAccess	33	0	Magnify_TouchBladeShowHide33()		PerfInstrumentation	Magnify_TouchBladeShowHide	Informational		
Microsoft-Windows-EaseOfAccess	34	0	Magnify_TouchBladeShowHide34()		PerfInstrumentation	Magnify_TouchBladeShowHide	Informational		
Microsoft-Windows-EaseOfAccess	35	0	Magnify_CloseButtonShowHide()		PerfInstrumentation	Magnify_CloseButtonShowHide	Informational		
Microsoft-Windows-EaseOfAccess	36	0	Magnify_CloseButtonShowHide36()		PerfInstrumentation	Magnify_CloseButtonShowHide	Informational		
Microsoft-Windows-EaseOfAccess	37	0	task_0()		PerfInstrumentation	task_0	Informational		
Microsoft-Windows-EaseOfAccess	38	0	task_038()		PerfInstrumentation	task_0	Informational		
