provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Windows Firewall With Advanced Security	2000	0	task_0(UInt32 CurrentProfile, UInt32 SAIdleTime, UInt32 PresharedKeyEncoding, UInt32 IPSecExempt, UInt32 CrlCheck, UInt32 IPSecThroughNAT, UInt32 PolicyVersionSupported, UInt32 PolicyVersion, UInt32 BinaryVersionSupported, UInt32 DisableStatefulFTP, UInt32 GroupPolicyApplied, UnicodeString RemoteMachineAuthorizationList, UnicodeString RemoteUserAuthorizationList)			task_0	Informational		
Microsoft-Windows-Windows Firewall With Advanced Security	2001	0	task_02001(UInt32 Profile, UInt32 OpMode, UInt32 DisableStealthMode, UInt32 BlockAllInbound, UInt32 DisableUnicastResponseToMultiCastBroadCast, UInt32 LogDroppedPackets, UInt32 LogSuccessfulConnections, UInt32 LogIgnoredRules, UInt32 DisableInboundNotifications, UInt32 AllowUserPrefMergeForApps, UInt32 AllowUserPrefMergeForGlobalPorts, UInt32 AllowLocalPolicyMerge, UInt32 AllowIPSecPolicyMerge, UInt32 DefaultOutboundAction, UInt32 DefaultInboundAction, UInt32 RemoteAdministrationEnabled, UInt32 MaxLogFileSize, UnicodeString LogFilePath, UInt32 DisabledInterfacesSize, Binary DisabledInterfaces, UInt32 DisableStealthModeIPsecSecuredPacketExemption)			task_0	Informational		
Microsoft-Windows-Windows Firewall With Advanced Security	2002	0	task_02002(UInt32 SettingType, UInt32 SettingValueSize, Binary SettingValue, UnicodeString SettingValueDisplay, UInt32 Origin, SID ModifyingUser, UnicodeString ModifyingApplication)			task_0	Informational		
Microsoft-Windows-Windows Firewall With Advanced Security	2003	0	task_02003(UInt32 Profiles, UInt32 SettingType, UInt32 SettingValueSize, Binary SettingValue, UnicodeString SettingValueString, UInt32 Origin, SID ModifyingUser, UnicodeString ModifyingApplication)			task_0	Informational		
Microsoft-Windows-Windows Firewall With Advanced Security	2004	0	task_02004(UnicodeString RuleId, UnicodeString RuleName, UInt32 Origin, UnicodeString ApplicationPath, UnicodeString ServiceName, UInt32 Direction, UInt16 Protocol, UnicodeString LocalPorts, UnicodeString RemotePorts, UInt32 Action, UInt32 Profiles, UnicodeString LocalAddresses, UnicodeString RemoteAddresses, UnicodeString RemoteMachineAuthorizationList, UnicodeString RemoteUserAuthorizationList, UnicodeString EmbeddedContext, UInt16 Flags, UInt16 Active, UInt16 EdgeTraversal, UInt16 LooseSourceMapped, UInt16 SecurityOptions, SID ModifyingUser, UnicodeString ModifyingApplication, UInt16 SchemaVersion, UInt32 RuleStatus, UInt16 LocalOnlyMapped)		keyword_20000000000	task_0	Informational		
Microsoft-Windows-Windows Firewall With Advanced Security	2005	0	task_02005(UnicodeString RuleId, UnicodeString RuleName, UInt32 Origin, UnicodeString ApplicationPath, UnicodeString ServiceName, UInt32 Direction, UInt16 Protocol, UnicodeString LocalPorts, UnicodeString RemotePorts, UInt32 Action, UInt32 Profiles, UnicodeString LocalAddresses, UnicodeString RemoteAddresses, UnicodeString RemoteMachineAuthorizationList, UnicodeString RemoteUserAuthorizationList, UnicodeString EmbeddedContext, UInt16 Flags, UInt16 Active, UInt16 EdgeTraversal, UInt16 LooseSourceMapped, UInt16 SecurityOptions, SID ModifyingUser, UnicodeString ModifyingApplication, UInt16 SchemaVersion, UInt32 RuleStatus, UInt16 LocalOnlyMapped)		keyword_20000000000	task_0	Informational		
Microsoft-Windows-Windows Firewall With Advanced Security	2006	0	task_02006(UnicodeString RuleId, UnicodeString RuleName, SID ModifyingUser, UnicodeString ModifyingApplication)		keyword_20000000000	task_0	Informational		
Microsoft-Windows-Windows Firewall With Advanced Security	2007	0	task_02007(UnicodeString RuleId, UnicodeString RuleName, UInt32 Origin, UnicodeString ApplicationPath, UnicodeString ServiceName, UInt32 Direction, UInt16 Protocol, UnicodeString LocalPorts, UnicodeString RemotePorts, UInt32 Action, UInt32 Profiles, UnicodeString LocalAddresses, UnicodeString RemoteAddresses, UnicodeString RemoteMachineAuthorizationList, UnicodeString RemoteUserAuthorizationList, UnicodeString EmbeddedContext, UInt16 Flags, UInt16 Active, UInt16 EdgeTraversal, UInt16 LooseSourceMapped, UInt16 SecurityOptions, SID ModifyingUser, UnicodeString ModifyingApplication, UInt16 SchemaVersion, UInt32 RuleStatus, UInt16 LocalOnlyMapped)			task_0	Informational		
Microsoft-Windows-Windows Firewall With Advanced Security	2008	0	task_02008()			task_0	Informational		
Microsoft-Windows-Windows Firewall With Advanced Security	2009	0	task_02009(Int32 ErrorCode)			task_0	Error		
