provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Privacy-Auditing	1000	0	ValueChanged(UnicodeString CallerUserSid, UnicodeString CallerProcessName, UnicodeString CallerAppPackageFamilyName, UnicodeString OldConsentValue, UnicodeString NewConsentValue, Boolean SetByHigherAuthority, UnicodeString EffectiveConsentValue, UnicodeString TargetUserSid, UnicodeString ConsentID, UnicodeString AppPackageFamilyName, HexInt32 HResult, UnicodeString SettingName)		SystemGlobal	ValueChanged	Informational		
Microsoft-Windows-Privacy-Auditing	1001	0	ValueChanged1001(UnicodeString CallerUserSid, UnicodeString CallerProcessName, UnicodeString CallerAppPackageFamilyName, UnicodeString OldConsentValue, UnicodeString NewConsentValue, Boolean SetByHigherAuthority, UnicodeString EffectiveConsentValue, UnicodeString TargetUserSid, UnicodeString ConsentID, UnicodeString AppPackageFamilyName, HexInt32 HResult, UnicodeString SettingName)		SystemGlobal Failure	ValueChanged	Error		
Microsoft-Windows-Privacy-Auditing	1002	0	ValueChanged1002(UnicodeString CallerUserSid, UnicodeString CallerProcessName, UnicodeString CallerAppPackageFamilyName, UnicodeString OldConsentValue, UnicodeString NewConsentValue, Boolean SetByHigherAuthority, UnicodeString EffectiveConsentValue, UnicodeString TargetUserSid, UnicodeString ConsentID, UnicodeString AppPackageFamilyName, HexInt32 HResult, UnicodeString SettingName)		UserGlobal	ValueChanged	Informational		
Microsoft-Windows-Privacy-Auditing	1003	0	ValueChanged1003(UnicodeString CallerUserSid, UnicodeString CallerProcessName, UnicodeString CallerAppPackageFamilyName, UnicodeString OldConsentValue, UnicodeString NewConsentValue, Boolean SetByHigherAuthority, UnicodeString EffectiveConsentValue, UnicodeString TargetUserSid, UnicodeString ConsentID, UnicodeString AppPackageFamilyName, HexInt32 HResult, UnicodeString SettingName)		UserGlobal Failure	ValueChanged	Error		
Microsoft-Windows-Privacy-Auditing	1004	0	ValueChanged1004(UnicodeString CallerUserSid, UnicodeString CallerProcessName, UnicodeString CallerAppPackageFamilyName, UnicodeString OldConsentValue, UnicodeString NewConsentValue, Boolean SetByHigherAuthority, UnicodeString EffectiveConsentValue, UnicodeString TargetUserSid, UnicodeString ConsentID, UnicodeString AppPackageFamilyName, HexInt32 HResult, UnicodeString SettingName)		UserApp	ValueChanged	Informational		
Microsoft-Windows-Privacy-Auditing	1005	0	ValueChanged1005(UnicodeString CallerUserSid, UnicodeString CallerProcessName, UnicodeString CallerAppPackageFamilyName, UnicodeString OldConsentValue, UnicodeString NewConsentValue, Boolean SetByHigherAuthority, UnicodeString EffectiveConsentValue, UnicodeString TargetUserSid, UnicodeString ConsentID, UnicodeString AppPackageFamilyName, HexInt32 HResult, UnicodeString SettingName)		UserApp Failure	ValueChanged	Error		
Microsoft-Windows-Privacy-Auditing	1006	0	DefaultConsentCreated(UnicodeString NewConsentValue, UnicodeString TargetUserSid, UnicodeString ConsentID, UnicodeString AppPackageFamilyName, HexInt32 HResult, UnicodeString SettingName, Boolean Migrated, Boolean Suppressed)		SystemGlobal	DefaultConsentCreated	Informational		
Microsoft-Windows-Privacy-Auditing	1007	0	DefaultConsentCreated1007(UnicodeString NewConsentValue, UnicodeString TargetUserSid, UnicodeString ConsentID, UnicodeString AppPackageFamilyName, HexInt32 HResult, UnicodeString SettingName, Boolean Migrated, Boolean Suppressed)		SystemGlobal Failure	DefaultConsentCreated	Error		
Microsoft-Windows-Privacy-Auditing	1008	0	DefaultConsentCreated1008(UnicodeString NewConsentValue, UnicodeString TargetUserSid, UnicodeString ConsentID, UnicodeString AppPackageFamilyName, HexInt32 HResult, UnicodeString SettingName, Boolean Migrated, Boolean Suppressed)		UserGlobal	DefaultConsentCreated	Informational		
Microsoft-Windows-Privacy-Auditing	1009	0	DefaultConsentCreated1009(UnicodeString NewConsentValue, UnicodeString TargetUserSid, UnicodeString ConsentID, UnicodeString AppPackageFamilyName, HexInt32 HResult, UnicodeString SettingName, Boolean Migrated, Boolean Suppressed)		UserGlobal Failure	DefaultConsentCreated	Error		
Microsoft-Windows-Privacy-Auditing	1010	0	DefaultConsentCreated1010(UnicodeString NewConsentValue, UnicodeString TargetUserSid, UnicodeString ConsentID, UnicodeString AppPackageFamilyName, HexInt32 HResult, UnicodeString SettingName, Boolean Migrated, Boolean Suppressed)		UserApp	DefaultConsentCreated	Informational		
Microsoft-Windows-Privacy-Auditing	1011	0	DefaultConsentCreated1011(UnicodeString NewConsentValue, UnicodeString TargetUserSid, UnicodeString ConsentID, UnicodeString AppPackageFamilyName, HexInt32 HResult, UnicodeString SettingName, Boolean Migrated, Boolean Suppressed)		UserApp Failure	DefaultConsentCreated	Error		
Microsoft-Windows-Privacy-Auditing	1012	0	CapabilityConsentProvisioned(UnicodeString NewConsentValue, UnicodeString TargetUserSid, UnicodeString AppPackageFamilyName, HexInt32 HResult, UnicodeString SettingName, Boolean Migrated)		UserApp	CapabilityConsentProvisioned	Informational		
Microsoft-Windows-Privacy-Auditing	1013	0	CapabilityConsentProvisioned1013(UnicodeString NewConsentValue, UnicodeString TargetUserSid, UnicodeString AppPackageFamilyName, HexInt32 HResult, UnicodeString SettingName, Boolean Migrated)		UserApp Failure	CapabilityConsentProvisioned	Error		
Microsoft-Windows-Privacy-Auditing	1014	0	PromptAnswered(UnicodeString NewConsentValue, UnicodeString TargetUserSid, UnicodeString ConsentID, UnicodeString AppPackageFamilyName, HexInt32 HResult, UnicodeString SettingName, Boolean AutoAccepted)		UserApp	PromptAnswered	Informational		
Microsoft-Windows-Privacy-Auditing	1015	0	PromptAnswered1015(UnicodeString NewConsentValue, UnicodeString TargetUserSid, UnicodeString ConsentID, UnicodeString AppPackageFamilyName, HexInt32 HResult, UnicodeString SettingName, Boolean AutoAccepted)		UserApp Failure	PromptAnswered	Error		
