provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Kernel-Boot	1	0	FirmwareResolution(UInt32 Width, UInt32 Height, UInt32 BitsPerPixel)			FirmwareResolution	Informational		
Microsoft-Windows-Kernel-Boot	2	0	BootEnvResolution(UInt32 Width, UInt32 Height, UInt32 BitsPerPixel)			BootEnvResolution	Informational		
Microsoft-Windows-Kernel-Boot	3	0	task_0(UInt32 BytesPerMs)			task_0	Informational		
Microsoft-Windows-Kernel-Boot	4	0	BootFileAccess(UInt32 DeviceID, UnicodeString FileName, UInt64 BytesRead, UInt64 BytesWritten)			BootFileAccess	Informational		
Microsoft-Windows-Kernel-Boot	5	0	BootTotalIo(GUID ApplicationGuid, UInt64 BytesRead, UInt64 BytesWritten)		keyword_200000000000	BootTotalIo	Informational		
Microsoft-Windows-Kernel-Boot	6	0	ImageIntegrityCheck(UnicodeString ImageName, UInt32 ImageFlags, UInt32 Reason, UInt32 ErrorIgnored)		keyword_80000000000 keyword_200000000000	ImageIntegrityCheck	Error		
Microsoft-Windows-Kernel-Boot	7	0	BootManager(UInt64 BootmgrTime)		keyword_200000000000	BootManager	Informational		
Microsoft-Windows-Kernel-Boot	8	0	ImageHashCheck(UnicodeString ImageName)		keyword_80000000000 keyword_200000000000	ImageHashCheck	Warning		
Microsoft-Windows-Kernel-Boot	9	0	task_09(UInt32 DriveNumber)		keyword_200000000000	task_0	Warning		
Microsoft-Windows-Kernel-Boot	10	0	task_010(UInt64 FwStartPage, UInt64 FwPageCount, UInt32 FwMemoryType, UInt32 FwMemoryAttributes, UInt64 BlStartPage, UInt64 BlPageCount, UInt32 BlMemoryType, UInt32 BlMemoryAttributes)		keyword_200000000000	task_0	Error		
Microsoft-Windows-Kernel-Boot	11	0	PreBoot(UInt64 PreBootMgrTime)			PreBoot	Informational		
Microsoft-Windows-Kernel-Boot	12	0	SecureBootVariableUsage(UnicodeString UefiVariableName, UInt32 Size, UInt32 Status)			SecureBootVariableUsage	Informational		
Microsoft-Windows-Kernel-Boot	13	0	task_013(GUID ApplicationGuid, UInt32 Element)		keyword_200000000000	task_0	Warning		
Microsoft-Windows-Kernel-Boot	14	0	task_014(UInt32 Status)			task_0	Informational		
Microsoft-Windows-Kernel-Boot	15	0	task_015(UInt32 Status)			task_0	Informational		
Microsoft-Windows-Kernel-Boot	16	0	task_016(UInt64 FailureStatus, UInt64 FailureMsgId)			task_0	Error		
Microsoft-Windows-Kernel-Boot	16	1	task_016_V1(UInt32 FailureStatus, UnicodeString FailureMsg)		keyword_80000000000	task_0	Error		
Microsoft-Windows-Kernel-Boot	17	0	task_017()			task_0	Informational		
Microsoft-Windows-Kernel-Boot	18	0	BootmgrEntryCount(UInt32 EntryCount)			BootmgrEntryCount	Informational		
Microsoft-Windows-Kernel-Boot	19	0	task_019(UInt32 ToolsCount)			task_0	Informational		
Microsoft-Windows-Kernel-Boot	20	0	DirtyBootShutdown(Boolean LastShutdownGood, Boolean LastBootGood)			DirtyBootShutdown	Informational		
Microsoft-Windows-Kernel-Boot	20	1	DirtyBootShutdown_V1(Boolean LastShutdownGood, Boolean LastBootGood, UInt32 LastBootId, UInt32 BootStatusPolicy)			DirtyBootShutdown	Informational		
Microsoft-Windows-Kernel-Boot	21	0	task_021(UInt32 OptionSelected)			task_0	Informational		
Microsoft-Windows-Kernel-Boot	22	0	task_022()			task_0	Informational		
Microsoft-Windows-Kernel-Boot	23	0	task_023()			task_0	Informational		
Microsoft-Windows-Kernel-Boot	24	0	task_024()			task_0	Informational		
Microsoft-Windows-Kernel-Boot	25	0	BootMenuPolicy(UInt32 BootMenuPolicy)			BootMenuPolicy	Informational		
Microsoft-Windows-Kernel-Boot	26	0	task_026()		keyword_80000000000	task_0	Informational		
Microsoft-Windows-Kernel-Boot	27	0	BootType(UInt32 BootType)			BootType	Informational		
Microsoft-Windows-Kernel-Boot	27	1	BootType_V1(UInt32 BootType, AnsiString LoadOptions)			BootType	Informational		
Microsoft-Windows-Kernel-Boot	28	0	task_028(UInt32 SqmType, GUID SqmSessionGuid, UInt32 SqmID, UInt32 SqmStreamRowLength, Int16 SqmStreamRow)			task_0	Informational		
Microsoft-Windows-Kernel-Boot	29	0	task_029(UInt64 FailureStatus, UInt64 FailureMsgId)			task_0	Error		
Microsoft-Windows-Kernel-Boot	29	1	task_029_V1(UInt32 FailureStatus, UnicodeString FailureMsg)		keyword_80000000000	task_0	Error		
Microsoft-Windows-Kernel-Boot	30	0	FirmwareBootData(UInt64 ResetEndStart, UInt64 LoadOSImageStart, UInt64 StartOSImageStart, UInt64 ExitBootServicesEntry, UInt64 ExitBootServicesExit)			FirmwareBootData	Informational		
Microsoft-Windows-Kernel-Boot	31	0	task_031(UInt32 Status)			task_0	Informational		
Microsoft-Windows-Kernel-Boot	32	0	UserInputTime(UInt64 BitlockerUserInputTime)			UserInputTime	Informational		
Microsoft-Windows-Kernel-Boot	33	0	task_033(UnicodeString ImageName, UInt32 ImageLoadStatus)		keyword_80000000000 keyword_200000000000	task_0	Error		
