provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-ModernDeployment-Diagnostics-Provider	100	0	task_0(UnicodeString Message1)			task_0	Warning		
Microsoft-Windows-ModernDeployment-Diagnostics-Provider	101	0	task_0101(UnicodeString Message1, Int32 Int1)			task_0	Informational		
Microsoft-Windows-ModernDeployment-Diagnostics-Provider	102	0	task_0102(HexInt32 HRESULT, UnicodeString Message1)			task_0	Error		
Microsoft-Windows-ModernDeployment-Diagnostics-Provider	103	0	task_0103(UnicodeString Message1, UnicodeString Message2)			task_0	Informational		
Microsoft-Windows-ModernDeployment-Diagnostics-Provider	104	0	task_0104(HexInt32 HRESULT, UnicodeString Message1)			task_0	Error		
Microsoft-Windows-ModernDeployment-Diagnostics-Provider	105	0	task_0105()			task_0	Informational		
Microsoft-Windows-ModernDeployment-Diagnostics-Provider	106	0	task_0106(HexInt32 HRESULT)			task_0	Error		
Microsoft-Windows-ModernDeployment-Diagnostics-Provider	107	0	task_0107(UnicodeString Message1)			task_0	Informational		
Microsoft-Windows-ModernDeployment-Diagnostics-Provider	108	0	task_0108(HexInt32 HRESULT)			task_0	Error		
Microsoft-Windows-ModernDeployment-Diagnostics-Provider	109	0	task_0109(UnicodeString Message1, UnicodeString Message2)			task_0	Informational		
Microsoft-Windows-ModernDeployment-Diagnostics-Provider	110	0	task_0110(HexInt32 HRESULT, UnicodeString Message1)			task_0	Error		
Microsoft-Windows-ModernDeployment-Diagnostics-Provider	111	0	task_0111()			task_0	Informational		
Microsoft-Windows-ModernDeployment-Diagnostics-Provider	112	0	task_0112(HexInt32 HRESULT)			task_0	Error		
Microsoft-Windows-ModernDeployment-Diagnostics-Provider	113	0	task_0113(Int32 Int1)			task_0	Error		
Microsoft-Windows-ModernDeployment-Diagnostics-Provider	114	0	task_0114()			task_0	Informational		
Microsoft-Windows-ModernDeployment-Diagnostics-Provider	115	0	task_0115(HexInt32 HRESULT)			task_0	Error		
Microsoft-Windows-ModernDeployment-Diagnostics-Provider	150	0	task_0150()			task_0	Informational		
Microsoft-Windows-ModernDeployment-Diagnostics-Provider	151	0	task_0151()			task_0	Informational		
Microsoft-Windows-ModernDeployment-Diagnostics-Provider	152	0	task_0152()			task_0	Informational		
Microsoft-Windows-ModernDeployment-Diagnostics-Provider	153	0	task_0153(UInt32 InitialState, UInt32 UpdateState)			task_0	Informational		
Microsoft-Windows-ModernDeployment-Diagnostics-Provider	154	0	task_0154(HexInt32 HRESULT)			task_0	Error		
Microsoft-Windows-ModernDeployment-Diagnostics-Provider	155	0	task_0155(HexInt32 HRESULT)			task_0	Error		
