provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Dwm-Compositor	1	0	WaitForWork_Start()	Start	Frame PresentMon	WaitForWork_Start	Informational		
Microsoft-Windows-Dwm-Compositor	3	0	WaitForVerticalBlank_Start(UInt64 duration, AnsiString targetId)	Start	Frame PresentMon	WaitForVerticalBlank_Start	Informational		
Microsoft-Windows-Dwm-Compositor	4	0	WaitForVerticalBlank_Stop(UInt32 waitResult)	Stop	Frame PresentMon	WaitForVerticalBlank_Stop	Informational		
Microsoft-Windows-Dwm-Compositor	5	0	UpdateAnimations_Start()	Start	Frame	UpdateAnimations_Start	Informational		
Microsoft-Windows-Dwm-Compositor	6	0	UpdateAnimations_Stop(UInt32 updatedAnimationCount)	Stop	Frame	UpdateAnimations_Stop	Informational		
Microsoft-Windows-Dwm-Compositor	8	0	Present_DFlip(UInt16 targetId, UInt32 hr, UInt64 surfaceLuid, UInt64 bindId, UInt64 realizationIndex, UInt32 presentCount)		Frame PresentMon	Present_DFlip	Informational		
Microsoft-Windows-Dwm-Compositor	9	0	Present_Legacy(Int8 targetId, UInt32 hr, UInt32 presentFlags)		Frame PresentMon	Present_Legacy	Informational		
Microsoft-Windows-Dwm-Compositor	10	0	Present_OverlayPlane(UInt64 surfaceLuid, UInt64 bindId, UInt64 realizationIndex, UInt32 presentCount, UInt32 Enabled, UInt32 PlaneIndex, UInt32 Flags, Boolean srcRect, FILETIME dstRect, HexInt64 clipRect, UInt32 Rotation, UInt32 Blend, UInt32 ColorSpace)		Frame PresentMon	Present_OverlayPlane	Informational		
Microsoft-Windows-Dwm-Compositor	12	0	UpdateExpressions_Start()	Start	Frame	UpdateExpressions_Start	Informational		
Microsoft-Windows-Dwm-Compositor	13	0	UpdateExpressions_Stop(UInt32 expressionCalculatedCount, UInt32 tracedExpressionsCalculatedCount, UInt32 activeExpressionCount, UInt32 suspendedAnimationsCount)	Stop	Frame	UpdateExpressions_Stop	Informational		
Microsoft-Windows-Dwm-Compositor	14	0	CleanTrees_Start()	Start	Frame CleanTrees	CleanTrees_Start	Informational		
Microsoft-Windows-Dwm-Compositor	15	0	CleanTrees_Stop(UInt32 hr, UInt32 dirtyTreeCount, UInt64 treeLockWaitTimeUs, UInt32 desktopDirtyRectCount, Int16 desktopDirtyRects)	Stop	Frame CleanTrees	CleanTrees_Stop	Informational		
Microsoft-Windows-Dwm-Compositor	17	0	ConfirmFrame(UInt32 hr, UInt64 frameId, UInt32 targetCount, UInt8 targetIdAndStats)		Frame PresentMon	ConfirmFrame	Informational		
Microsoft-Windows-Dwm-Compositor	18	0	RenderCVISnapshots(UInt32 hr, UInt32 snapshotsToPerform)		Frame	RenderCVISnapshots	Informational		
Microsoft-Windows-Dwm-Compositor	19	0	RenderCVIs(UInt64 desktopLuid, UInt32 backdropVisualsRendered, UInt32 cachedVisualsRendered)		Frame	RenderCVIs	Informational		
Microsoft-Windows-Dwm-Compositor	20	0	TargetRender(UInt64 renderStartTime, UInt64 renderEndTime, UInt64 endDrawStartTime, UInt64 endDrawEndTime, UInt64 targetArea, UInt32 drawVisualTreeCount, UInt32 internalLayerCount, UInt64 internalLayerArea, UInt32 externalLayerCount, UInt64 externalLayerArea, UInt32 cviCount, UInt64 cviArea, UInt32 bviCount, UInt64 bviArea, UInt32 targetType)		Frame	TargetRender	Informational		
Microsoft-Windows-Dwm-Compositor	21	0	FrameRender(UInt64 totalRenderTimeUs, UInt64 totalEndDrawTimeUs, UInt64 totalTargetArea, UInt32 totalDrawVisualTreeCount, UInt32 totalInternalLayerCount, UInt64 totalInternalLayerArea, UInt32 totalExternalLayerCount, UInt64 totalExternalLayerArea, UInt32 totalCviCount, UInt64 totalCviArea, UInt32 totalBviCount, UInt64 totalBviArea)		Frame	FrameRender	Informational		
Microsoft-Windows-Dwm-Compositor	22	0	WaitForCompositorClock_Start()	Start	Frame PresentMon	WaitForCompositorClock_Start	Informational		
Microsoft-Windows-Dwm-Compositor	23	0	WaitForCompositorClock_Stop(Int32 waitResult, UInt64 duration, Boolean parallelMode)	Stop	Frame PresentMon	WaitForCompositorClock_Stop	Informational		
Microsoft-Windows-Dwm-Compositor	24	0	TargetStats_TargetTime(Int16 targetId, UInt64 targetError, UInt64 targetMonitorTime, Boolean firstAvailableMonitorTime, Pointer lastMonitorTime)		Frame PresentMon	TargetStats_TargetTime	Informational		
Microsoft-Windows-Dwm-Compositor	25	0	ClockBoostChanged(Boolean clockBoost)		Frame	ClockBoostChanged	Informational		
Microsoft-Windows-Dwm-Compositor	26	0	SwapChain_DurationChanged(UInt64 displayAdapterLuid, UInt32 vidPnSourceId, UInt32 vidPnTargetId, UInt64 duration, UInt32 vBlankMultiplier, UInt64 iFlipApprovedDuration)		Frame PresentMon	SwapChain_DurationChanged	Informational		
Microsoft-Windows-Dwm-Compositor	27	0	ConnectedStandbyStateChanged(UInt32 ConnectedStandbyState)		Frame	ConnectedStandbyStateChanged	Informational		
Microsoft-Windows-Dwm-Compositor	28	0	MonitorPowerStateChanged(UInt32 MonitorPowerState)		Frame	MonitorPowerStateChanged	Informational		
Microsoft-Windows-Dwm-Compositor	29	0	Pinning_Start(UInt32 resourceCount)	Start	Frame	Pinning_Start	Informational		
Microsoft-Windows-Dwm-Compositor	30	0	Pinning_Stop(UInt32 hr)	Stop	Frame	Pinning_Stop	Informational		
Microsoft-Windows-Dwm-Compositor	31	0	UnPinning_Start(UInt32 resourceCount)	Start	Frame	UnPinning_Start	Informational		
Microsoft-Windows-Dwm-Compositor	32	0	UnPinning_Stop(UInt32 hr)	Stop	Frame	UnPinning_Stop	Informational		
Microsoft-Windows-Dwm-Compositor	33	0	ResourcePinned(UInt64 surfaceLuid, UInt32 realizationIndex, UInt64 uniqueId, Boolean alreadyPinned)		Frame	ResourcePinned	Informational		
Microsoft-Windows-Dwm-Compositor	34	0	ResourcePendingUnPin(UInt64 displayAdapterLuid, UInt32 vidPnSourceId, UInt32 presentCount, UInt64 surfaceLuid, UInt32 realizationIndex, UInt64 uniqueId)		Frame	ResourcePendingUnPin	Informational		
Microsoft-Windows-Dwm-Compositor	35	0	ResourceReadyToUnPin(Boolean ready, UInt64 displayAdapterLuid, UInt32 vidPnSourceId, UInt32 completedPresentCount, UInt64 surfaceLuid, UInt32 realizationIndex, UInt64 uniqueId)		Frame	ResourceReadyToUnPin	Informational		
Microsoft-Windows-Dwm-Compositor	36	0	ResourceUnPinned(UInt64 surfaceLuid, UInt32 realizationIndex, UInt64 uniqueId)		Frame	ResourceUnPinned	Informational		
