provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-MCCS-NetworkHelper	1	0	task_0(Int32 P1_HexInt32, AnsiString P2_String, UInt32 P3_UInt32)		Error	task_0	Error		
Microsoft-Windows-MCCS-NetworkHelper	2	0	task_02(Int32 P1_HexInt32, AnsiString P2_String, UInt32 P3_UInt32)		Warning	task_0	Warning		
Microsoft-Windows-MCCS-NetworkHelper	3	0	Trace(Pointer Message)		Debug	Trace	Verbose		
Microsoft-Windows-MCCS-NetworkHelper	101	0	task_0101(UInt32 P1_UInt32, UInt32 P2_UInt32)		Warning	task_0	Warning		
Microsoft-Windows-MCCS-NetworkHelper	102	0	task_0102(UInt32 P1_UInt32, UInt32 P2_UInt32)		Warning	task_0	Warning		
Microsoft-Windows-MCCS-NetworkHelper	103	0	task_0103(UInt32 P1_UInt32, UInt32 P2_UInt32, UInt32 P3_UInt32)		Warning	task_0	Warning		
Microsoft-Windows-MCCS-NetworkHelper	104	0	task_0104(UInt32 P1_UInt32, UInt32 P2_UInt32)		Warning	task_0	Warning		
Microsoft-Windows-MCCS-NetworkHelper	105	0	task_0105(UInt32 P1_UInt32, UInt32 P2_UInt32)		Warning	task_0	Warning		
Microsoft-Windows-MCCS-NetworkHelper	106	0	task_0106(UInt32 P1_UInt32, UInt32 P2_UInt32)		Warning	task_0	Warning		
Microsoft-Windows-MCCS-NetworkHelper	107	0	task_0107(UInt32 P1_UInt32, UInt32 P2_UInt32, UInt32 P3_UInt32)		Warning	task_0	Warning		
Microsoft-Windows-MCCS-NetworkHelper	109	0	task_0109(UInt32 P1_UInt32, UInt32 P2_UInt32)		Warning	task_0	Warning		
Microsoft-Windows-MCCS-NetworkHelper	110	0	task_0110(AnsiString P1_String, UInt32 P2_UInt32, UInt32 P3_UInt32)		Warning	task_0	Warning		
Microsoft-Windows-MCCS-NetworkHelper	111	0	task_0111(Int32 P1_UInt32, UnicodeString P2_String)		Error	task_0	Error		
Microsoft-Windows-MCCS-NetworkHelper	201	0	task_0201(Boolean P1_Boolean, Int32 P2_Int32)		Warning	task_0	Warning		
Microsoft-Windows-MCCS-NetworkHelper	202	0	task_0202(UnicodeString P1_String, Boolean P2_Boolean, UnicodeString P3_String, Pointer P4_Handle)		StateTransition	task_0	Informational		
Microsoft-Windows-MCCS-NetworkHelper	203	0	task_0203(UnicodeString P1_String)		StateTransition	task_0	Informational		
Microsoft-Windows-MCCS-NetworkHelper	204	0	task_0204()		Warning	task_0	Warning		
Microsoft-Windows-MCCS-NetworkHelper	205	0	task_0205()		Warning	task_0	Warning		
Microsoft-Windows-MCCS-NetworkHelper	206	0	task_0206(UnicodeString P1_String, Boolean P2_Boolean)		StateTransition	task_0	Informational		
Microsoft-Windows-MCCS-NetworkHelper	207	0	task_0207(Int32 P1_Int32)		Warning keyword_200000000000	task_0	Warning		
Microsoft-Windows-MCCS-NetworkHelper	208	0	task_0208()		Warning	task_0	Warning		
Microsoft-Windows-MCCS-NetworkHelper	209	0	task_0209(Pointer Message)		Warning	task_0	Warning		
