provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-StorageSpaces-Driver	102	0	task_0(GUID Id, UInt32 Status)			task_0	Error		
Microsoft-Windows-StorageSpaces-Driver	103	0	task_0103(GUID Id, UInt32 Status)			task_0	Error		
Microsoft-Windows-StorageSpaces-Driver	104	0	task_0104(GUID Id, UInt32 Status)			task_0	Informational		
Microsoft-Windows-StorageSpaces-Driver	200	0	task_0200(GUID Id, UInt32 Status)			task_0	Warning		
Microsoft-Windows-StorageSpaces-Driver	202	0	task_0202(GUID Id, UInt32 Status)			task_0	Error		
Microsoft-Windows-StorageSpaces-Driver	203	0	task_0203(GUID Id, UInt32 Status, Int32 DeviceNumber, UnicodeString DriveManufacturer, UnicodeString DriveModel, UnicodeString DriveSerial, UnicodeString EnclosureManufacturer, UnicodeString EnclosureModel, UnicodeString EnclosureSerial, Int32 Slot)			task_0	Error		
Microsoft-Windows-StorageSpaces-Driver	204	0	task_0204(GUID Id, UInt8 Key, UInt8 Asc, UInt8 Ascq, Int32 DeviceNumber, UnicodeString DriveManufacturer, UnicodeString DriveModel, UnicodeString DriveSerial, UnicodeString EnclosureManufacturer, UnicodeString EnclosureModel, UnicodeString EnclosureSerial, Int32 Slot)			task_0	Warning		
Microsoft-Windows-StorageSpaces-Driver	205	0	task_0205(GUID Id, UnicodeString DriveManufacturer, UnicodeString DriveModel, UnicodeString DriveSerial, UnicodeString EnclosureManufacturer, UnicodeString EnclosureModel, UnicodeString EnclosureSerial, Int32 Slot)			task_0	Warning		
Microsoft-Windows-StorageSpaces-Driver	206	0	task_0206(GUID Id, UInt8 Reason, UInt32 Status, UInt32 State)			task_0	Warning		
Microsoft-Windows-StorageSpaces-Driver	207	0	task_0207(GUID DriveId, GUID PoolId, Int32 DeviceNumber, UnicodeString DriveManufacturer, UnicodeString DriveModel, UnicodeString DriveSerial)			task_0	Informational		
Microsoft-Windows-StorageSpaces-Driver	208	0	task_0208(UInt32 Status, GUID DriveId, GUID PoolId, Int32 DeviceNumber, UnicodeString DriveManufacturer, UnicodeString DriveModel, UnicodeString DriveSerial)			task_0	Warning		
Microsoft-Windows-StorageSpaces-Driver	300	0	task_0300(GUID Id1, GUID Id2, UInt32 Status)			task_0	Error		
Microsoft-Windows-StorageSpaces-Driver	301	0	task_0301(GUID Id, UInt32 Status)			task_0	Error		
Microsoft-Windows-StorageSpaces-Driver	302	0	task_0302(GUID Id, UInt32 Status)			task_0	Error		
Microsoft-Windows-StorageSpaces-Driver	303	0	task_0303(GUID UserId, GUID Id, AnsiString ColumnData)			task_0	Error		
Microsoft-Windows-StorageSpaces-Driver	304	0	task_0304(GUID Id)			task_0	Warning		
Microsoft-Windows-StorageSpaces-Driver	305	0	task_0305(GUID Id)			task_0	Informational		
Microsoft-Windows-StorageSpaces-Driver	306	0	task_0306(GUID Id, UInt32 Status)			task_0	Error		
Microsoft-Windows-StorageSpaces-Driver	307	0	task_0307(GUID Id, UInt32 Status)			task_0	Error		
Microsoft-Windows-StorageSpaces-Driver	309	0	task_0309(GUID Id, UInt32 Status)			task_0	Error		
Microsoft-Windows-StorageSpaces-Driver	310	0	task_0310(GUID Id, UInt32 Status)			task_0	Error		
Microsoft-Windows-StorageSpaces-Driver	311	0	task_0311(GUID Id, UInt32 Status)			task_0	Error		
Microsoft-Windows-StorageSpaces-Driver	312	0	task_0312(GUID Id, UInt32 Status)			task_0	Error		
Microsoft-Windows-StorageSpaces-Driver	313	0	task_0313(GUID Id)			task_0	Error		
Microsoft-Windows-StorageSpaces-Driver	400	0	task_0400(GUID Id, Int32 Path, UnicodeString EnclosureManufacturer, UnicodeString EnclosureModel, UnicodeString EnclosureSerial, UnicodeString EnclosureRevision)			task_0	Informational		
Microsoft-Windows-StorageSpaces-Driver	401	0	task_0401(GUID Id, Int32 Path, UnicodeString EnclosureManufacturer, UnicodeString EnclosureModel, UnicodeString EnclosureSerial, UnicodeString EnclosureRevision)			task_0	Informational		
